grid_ID,value
1,739.0
2,341.0
3,95.0
4,107.0
5,114.0
6,754.0
7,791.0
8,907.0
9,814.0
10,968.0
11,955.0
12,818.0
13,908.0
14,765.0
15,493.0
16,497.0
17,436.0
18,428.0
19,338.0
20,374.0
21,780.0
22,897.0
23,863.0
24,945.0
25,991.0
26,948.0
27,961.0
28,484.0
29,469.0
30,537.0
31,417.0
32,379.0
33,501.0
34,549.0
35,523.0
36,421.0
37,416.0
38,448.0
39,375.0
40,288.0
41,844.0
42,697.0
43,819.0
44,685.0
45,807.0
46,441.0
47,470.0
48,500.0
49,614.0
50,555.0
51,542.0
52,513.0
53,480.0
54,438.0
55,481.0
56,401.0
57,378.0
58,283.0
59,241.0
60,728.0
61,769.0
62,743.0
63,537.0
64,444.0
65,475.0
66,648.0
67,577.0
68,510.0
69,512.0
70,482.0
71,476.0
72,439.0
73,450.0
74,436.0
75,375.0
76,367.0
77,271.0
78,234.0
79,91.0
80,671.0
81,678.0
82,824.0
83,492.0
84,561.0
85,680.0
86,583.0
87,566.0
88,560.0
89,537.0
90,544.0
91,495.0
92,470.0
93,456.0
94,495.0
95,410.0
96,355.0
97,343.0
98,245.0
99,225.0
100,72.0
101,80.0
102,91.0
103,93.0
104,103.0
105,330.0
106,449.0
107,438.0
108,542.0
109,589.0
110,583.0
111,645.0
112,570.0
113,508.0
114,524.0
115,497.0
116,454.0
117,480.0
118,525.0
119,458.0
120,436.0
121,360.0
122,304.0
123,232.0
124,71.0
125,77.0
126,75.0
127,79.0
128,80.0
129,87.0
130,81.0
131,355.0
132,496.0
133,544.0
134,425.0
135,544.0
136,656.0
137,592.0
138,641.0
139,574.0
140,573.0
141,544.0
142,541.0
143,510.0
144,483.0
145,528.0
146,442.0
147,457.0
148,363.0
149,264.0
150,217.0
151,74.0
152,71.0
153,92.0
154,93.0
155,84.0
156,80.0
157,89.0
158,86.0
159,454.0
160,570.0
161,533.0
162,470.0
163,497.0
164,621.0
165,610.0
166,599.0
167,603.0
168,566.0
169,570.0
170,510.0
171,516.0
172,473.0
173,534.0
174,499.0
175,487.0
176,349.0
177,259.0
178,82.0
179,85.0
180,78.0
181,87.0
182,88.0
183,91.0
184,84.0
185,83.0
186,87.0
187,92.0
188,103.0
189,470.0
190,629.0
191,629.0
192,600.0
193,701.0
194,627.0
195,721.0
196,703.0
197,532.0
198,514.0
199,539.0
200,552.0
201,489.0
202,500.0
203,403.0
204,430.0
205,414.0
206,267.0
207,124.0
208,104.0
209,110.0
210,120.0
211,84.0
212,81.0
213,85.0
214,94.0
215,76.0
216,82.0
217,81.0
218,84.0
219,88.0
220,81.0
221,96.0
222,102.0
223,97.0
224,92.0
225,501.0
226,605.0
227,604.0
228,641.0
229,656.0
230,572.0
231,751.0
232,769.0
233,557.0
234,531.0
235,531.0
236,500.0
237,492.0
238,433.0
