ECO_ID,ECO_NAME,Cai_prediction,GBIF_records,Observed_species,Singletons,Doubletons,Chao1
41001.0,Kinabalu montane alpine meadows,4236.412002208782,8772,1616,699,311,2401.532154340836
61312.0,Motagua Valley thornscrub,3673.7054752127115,9513,2196,869,450,3035.067777777778
40302.0,Luzon tropical pine forests,3628.448206136035,7682,1982,819,371,2885.990566037736
60177.0,Veracruz montane forests,3580.2672070574195,10124,1623,590,242,2342.214876033058
60112.0,Central American montane forests,3460.7431822171106,10040,2050,915,340,3281.2132352941176
40130.0,Mindoro rain forests,3419.0,8439,1583,695,334,2306.0913173652693
60113.0,Chiapas montane forests,3398.3302300521623,10108,2110,786,343,3010.577259475219
60146.0,Oaxacan montane forests,3376.6668612861076,10125,1982,771,316,2922.5712025316457
40159.0,Sumatran montane rain forests,3330.308788388604,10083,1479,573,221,2221.8257918552035
60305.0,Hispaniolan pine forests,3258.7165509165156,10047,1905,685,312,2656.963141025641
